Gender,Age,Academic Percentage,Maths Score,Science Score,English Score,Programming Skill,Communication Skill,Logical Thinking,Creativity,Leadership,Interest,Personality Type,Preferred Subject,Career Label
Male,20,61.03,75.39,85.36,58.07,4,6,5,3,6,Mathematics,Practical,Science,Civil Engineer
Female,20,71.54,65.11,74.21,70.98,5,9,5,6,7,Business,Leadership,Social Studies,Business Analyst
Female,19,81.56,89.46,72.65,78.57,8,5,10,3,8,Mathematics,Analytical,Computer Science,Data Scientist
Female,17,63.76,77.01,70.56,81.94,4,7,6,2,9,Business,Analytical,Commerce,Business Analyst
Male,16,86.33,97.83,78.05,68.12,6,1,9,5,4,Mathematics,Practical,Science,Data Scientist
Male,21,79.95,51.5,68.84,74.12,3,8,2,5,7,Medicine,Investigative,Biology,Psychologist
Female,18,72.6,81.93,75.93,63.07,7,4,7,4,4,Technology,Creative,Mathematics,Civil Engineer
Female,18,72.32,63.4,74.37,64.34,8,10,5,5,7,Business,Social,English,Teacher
Female,20,60.83,82.84,70.59,44.28,1,5,7,3,3,Science,Investigative,Science,Civil Engineer
Male,16,78.59,79.44,70.25,61.61,7,7,9,10,10,Technology,Investigative,Mathematics,Software Engineer
Female,18,77.83,53.99,60.65,77.48,2,7,6,7,7,Business,Leadership,Social Studies,Lawyer
Male,22,86.14,85.84,79.19,72.79,8,3,10,4,4,Mathematics,Investigative,Computer Science,Data Scientist
Male,19,80.77,77.38,75.3,56.5,4,4,7,6,4,Technology,Analytical,Computer Science,Mechanical Engineer
Female,17,77.94,93.84,44.88,82.43,7,6,7,4,8,Technology,Social,Science,Business Analyst
Female,18,75.43,81.54,63.85,59.11,4,4,7,4,8,Science,Practical,Mathematics,Civil Engineer
Male,19,83.2,53.63,84.64,85.33,3,7,7,8,4,Medicine,Investigative,Biology,Doctor
Female,22,87.12,82.99,45.31,65.68,6,5,10,6,5,Social Work,Practical,Biology,Psychologist
Male,19,71.04,48.46,49.55,74.3,2,8,7,6,9,Business,Investigative,Social Studies,Lawyer
Female,22,75.16,48.41,32.24,69.92,3,3,5,8,10,Design,Creative,Computer Science,Graphic Designer
Male,18,66.28,55.11,53.31,84.52,1,8,7,10,6,Arts,Social,Social Studies,Psychologist
Male,16,71.3,68.86,80.18,53.85,5,7,6,7,7,Technology,Investigative,Science,Mechanical Engineer
Male,17,80.46,89.84,74.48,66.75,3,6,7,6,7,Science,Practical,Mathematics,Civil Engineer
Female,20,81.43,76.27,81.0,64.82,9,8,6,6,5,Design,Analytical,Computer Science,Software Engineer
Female,17,81.26,81.25,78.03,98.12,5,10,8,7,7,Arts,Social,Social Studies,Teacher
Male,21,67.38,60.89,63.48,65.0,6,8,6,10,7,Arts,Creative,Arts,Graphic Designer
Female,20,81.41,75.89,85.81,72.07,2,8,9,6,6,Medicine,Investigative,Biology,Doctor
Female,22,84.8,58.46,95.18,69.88,2,6,7,8,4,Science,Analytical,Biology,Doctor
Male,17,92.05,63.41,97.51,75.54,2,8,5,5,3,Medicine,Social,Commerce,Doctor
Female,16,73.34,87.31,43.23,70.33,1,2,6,9,3,Design,Creative,Arts,Graphic Designer
Male,22,76.74,78.81,32.26,69.95,3,5,6,5,8,Business,Social,Commerce,Business Analyst
Female,19,65.68,93.56,61.43,54.02,4,6,7,5,7,Mathematics,Analytical,Arts,Civil Engineer
Female,17,73.15,82.23,75.56,66.99,3,8,6,6,6,Science,Practical,Computer Science,Mechanical Engineer
Female,19,78.97,88.31,76.59,58.62,1,5,6,6,5,Mathematics,Analytical,Science,Civil Engineer
Male,17,74.07,76.89,50.15,71.95,7,7,9,7,9,Business,Leadership,Commerce,Business Analyst
Female,16,86.33,77.91,92.53,83.1,3,8,9,8,4,Social Work,Investigative,Biology,Doctor
Female,16,74.97,74.4,77.43,80.63,3,8,10,3,6,Medicine,Leadership,Arts,Teacher
Female,19,69.61,57.18,61.3,65.54,8,8,7,4,8,Science,Social,Commerce,Business Analyst
Female,16,65.44,64.53,72.6,76.89,3,4,1,9,6,Design,Practical,Arts,Graphic Designer
Male,16,73.41,64.57,61.98,75.61,6,3,5,7,7,Business,Leadership,Mathematics,Business Analyst
Female,20,83.42,85.31,75.07,51.19,7,5,9,6,6,Technology,Practical,Mathematics,Data Scientist
Female,22,89.76,64.44,97.65,77.91,5,7,6,6,6,Business,Analytical,Computer Science,Doctor
Female,22,81.17,58.92,93.56,74.1,4,7,7,10,8,Medicine,Investigative,Biology,Doctor
Male,18,80.86,54.46,61.8,81.07,3,10,8,7,9,Social Work,Social,English,Lawyer
Male,18,76.66,72.59,64.86,71.0,3,10,7,6,7,Social Work,Investigative,English,Lawyer
Male,16,82.68,54.3,71.92,68.05,3,7,8,5,6,Social Work,Social,Social Studies,Psychologist
Female,18,65.88,79.47,51.59,68.36,6,9,7,5,9,Business,Social,Commerce,Business Analyst
Female,21,76.64,69.07,66.8,73.24,6,7,7,7,10,Technology,Analytical,Commerce,Business Analyst
Female,22,87.99,85.89,50.51,44.5,10,6,8,3,4,Technology,Analytical,Computer Science,Software Engineer
Female,21,94.01,55.39,83.6,93.79,4,8,8,4,3,Medicine,Investigative,Biology,Doctor
Male,16,65.01,53.73,54.51,39.52,3,3,5,9,3,Arts,Social,Arts,Graphic Designer
Male,22,72.4,79.99,83.82,44.87,6,7,4,10,7,Social Work,Analytical,Mathematics,Civil Engineer
Male,22,85.13,58.23,92.49,67.24,4,5,6,2,5,Medicine,Investigative,Biology,Doctor
Male,16,88.27,77.57,100.0,81.38,2,6,8,2,5,Medicine,Analytical,Biology,Doctor
Female,20,80.33,87.87,74.77,55.45,9,5,9,2,5,Science,Analytical,Computer Science,Data Scientist
Male,20,51.11,41.56,63.05,76.04,3,4,3,9,6,Design,Creative,English,Graphic Designer
Female,16,88.5,92.96,76.26,52.28,8,7,9,8,8,Science,Analytical,Computer Science,Data Scientist
Female,16,90.68,59.99,87.31,72.39,1,7,9,1,9,Medicine,Analytical,English,Doctor
Female,21,89.86,85.69,82.05,76.98,10,7,9,8,8,Mathematics,Analytical,Computer Science,Data Scientist
Female,20,78.68,74.43,67.5,59.73,8,7,10,8,5,Technology,Analytical,Computer Science,Software Engineer
Female,22,76.82,59.89,76.41,94.34,4,8,4,6,7,Arts,Social,Social Studies,Teacher
Male,21,93.45,53.43,69.39,73.94,1,10,7,5,7,Mathematics,Leadership,English,Lawyer
Male,20,64.22,76.24,79.28,81.93,4,9,8,4,8,Social Work,Social,Arts,Teacher
Female,16,83.33,57.37,63.26,75.7,1,8,1,3,1,Social Work,Investigative,English,Psychologist
Male,22,87.33,67.31,63.38,87.01,7,10,6,8,9,Medicine,Analytical,Social Studies,Lawyer
Female,19,77.88,67.59,63.36,45.94,9,7,8,7,4,Technology,Analytical,Science,Software Engineer
Male,16,83.92,87.59,66.58,72.39,10,4,9,8,1,Mathematics,Investigative,Computer Science,Software Engineer
Female,16,90.35,58.85,85.42,92.49,1,8,6,5,6,Medicine,Creative,Social Studies,Psychologist
Female,22,76.33,76.14,57.5,78.64,3,10,7,4,9,Mathematics,Leadership,Mathematics,Business Analyst
Female,22,80.23,68.06,58.75,74.83,2,8,10,4,9,Social Work,Social,Social Studies,Lawyer
Male,19,77.9,89.67,68.62,54.15,9,6,8,6,5,Technology,Analytical,Computer Science,Software Engineer
Female,20,90.36,69.54,80.51,70.5,4,8,6,4,5,Technology,Social,Social Studies,Doctor
Female,16,78.29,84.38,66.59,58.98,5,3,8,5,2,Design,Practical,Mathematics,Civil Engineer
Male,20,77.26,82.13,77.95,74.74,8,5,7,4,6,Technology,Creative,Computer Science,Software Engineer
Male,19,65.81,63.68,58.19,73.89,5,8,7,9,8,Mathematics,Leadership,Mathematics,Business Analyst
Female,20,72.18,89.51,68.88,44.78,4,6,6,4,7,Mathematics,Practical,Mathematics,Civil Engineer
Female,18,76.76,51.67,73.86,75.77,1,8,5,10,6,Social Work,Social,Social Studies,Psychologist
Female,16,85.43,69.16,93.6,79.58,7,8,5,4,7,Medicine,Social,Computer Science,Doctor
Female,22,96.48,87.84,86.65,62.0,9,7,9,6,6,Technology,Analytical,Mathematics,Data Scientist
Male,17,85.05,98.03,84.07,59.82,10,4,9,5,5,Technology,Practical,Computer Science,Data Scientist
Male,20,81.29,78.25,43.89,91.03,6,8,6,7,6,Design,Analytical,Mathematics,Business Analyst
Female,19,86.22,64.0,84.19,77.74,1,10,5,8,8,Social Work,Creative,Social Studies,Psychologist
Female,20,78.65,78.33,75.5,68.58,6,4,10,6,3,Technology,Practical,Mathematics,Mechanical Engineer
Female,17,87.04,83.26,68.34,64.91,9,5,9,4,3,Technology,Investigative,Mathematics,Software Engineer
Male,17,80.47,60.51,53.03,55.66,6,9,7,3,7,Business,Analytical,Social Studies,Business Analyst
Male,22,67.78,72.0,89.17,60.52,5,4,7,7,3,Mathematics,Practical,Science,Mechanical Engineer
Female,21,83.8,89.01,84.3,59.6,9,2,8,1,4,Technology,Analytical,Commerce,Data Scientist
Female,18,89.7,59.8,70.52,85.35,2,7,6,9,5,Social Work,Creative,Social Studies,Psychologist
Female,17,61.31,48.71,61.47,76.6,2,7,5,9,3,Technology,Creative,Arts,Graphic Designer
Female,20,87.74,85.31,78.79,76.83,7,4,8,2,7,Mathematics,Analytical,Science,Mechanical Engineer
Female,18,77.93,53.71,59.97,82.44,1,8,5,6,6,Social Work,Practical,English,Lawyer
Female,17,79.58,46.64,69.59,82.82,6,9,2,8,9,Business,Investigative,Social Studies,Lawyer
Female,19,91.94,78.14,93.87,63.23,5,8,6,7,6,Mathematics,Investigative,Biology,Doctor
Female,18,69.56,65.72,67.99,80.04,4,9,6,8,4,Medicine,Creative,English,Teacher
Male,16,89.38,45.21,62.31,77.9,6,10,5,7,8,Mathematics,Leadership,Arts,Teacher
Male,18,80.72,87.88,71.14,75.99,10,6,9,5,1,Mathematics,Analytical,Mathematics,Data Scientist
Male,19,81.96,76.24,52.44,80.82,6,6,6,2,6,Technology,Analytical,Commerce,Business Analyst
Male,20,72.64,34.68,55.73,81.01,2,10,8,6,10,Arts,Leadership,English,Lawyer
Male,20,78.89,67.99,85.93,73.64,1,8,6,7,5,Medicine,Leadership,Biology,Doctor
Male,16,80.18,66.98,67.31,81.36,4,6,10,1,7,Science,Investigative,Science,Mechanical Engineer
Female,16,83.19,80.74,59.05,59.72,10,2,8,8,5,Design,Creative,Biology,Software Engineer
Male,22,68.23,49.11,66.41,77.31,2,9,7,5,6,Mathematics,Social,Social Studies,Teacher
Male,18,85.19,49.8,74.48,79.8,4,9,4,8,7,Social Work,Leadership,Arts,Teacher
Female,21,74.49,74.07,57.86,80.73,6,7,5,4,9,Business,Analytical,Commerce,Business Analyst
Female,18,68.38,48.87,30.0,68.32,3,7,5,9,1,Design,Social,Computer Science,Graphic Designer
Male,20,81.37,85.61,85.43,62.94,5,6,8,6,7,Technology,Leadership,Mathematics,Business Analyst
Male,21,88.07,45.7,87.62,85.99,4,10,5,7,8,Mathematics,Analytical,English,Doctor
Male,20,85.65,67.42,91.5,69.88,2,8,5,5,9,Medicine,Social,Biology,Doctor
Female,18,74.42,61.0,63.5,80.43,3,8,7,6,2,Social Work,Creative,Mathematics,Psychologist
Male,21,60.01,55.67,53.44,92.44,3,9,8,5,10,Business,Social,English,Lawyer
Male,22,59.56,82.47,63.96,61.57,7,7,8,4,9,Science,Creative,Computer Science,Software Engineer
Male,22,79.16,71.17,64.5,69.64,6,4,6,8,7,Business,Leadership,Commerce,Business Analyst
Male,17,73.17,59.02,71.33,73.5,1,7,7,6,4,Social Work,Social,Social Studies,Psychologist
Female,16,67.62,63.67,54.16,83.42,2,8,7,3,10,Social Work,Investigative,Computer Science,Lawyer
Male,18,72.51,93.8,69.59,45.95,8,4,9,4,9,Technology,Analytical,Mathematics,Data Scientist
Female,20,60.15,62.22,38.07,73.64,1,7,7,8,6,Arts,Creative,Arts,Graphic Designer
Male,18,68.51,58.62,72.74,72.24,3,7,3,8,7,Arts,Creative,Arts,Graphic Designer
Male,18,87.72,74.42,60.19,76.11,1,10,6,5,6,Medicine,Leadership,Social Studies,Lawyer
Female,22,75.88,81.13,70.34,66.61,10,5,8,4,7,Design,Creative,Computer Science,Software Engineer
Male,17,70.71,78.33,76.91,51.52,5,1,10,4,4,Technology,Practical,Science,Mechanical Engineer
Male,20,81.01,73.69,75.91,70.82,2,3,9,3,5,Technology,Practical,Mathematics,Mechanical Engineer
Female,19,90.76,54.9,72.69,79.55,3,7,6,6,9,Medicine,Creative,Biology,Psychologist
Female,21,74.34,78.34,71.1,66.3,10,5,8,7,7,Technology,Analytical,Mathematics,Software Engineer
Female,17,73.24,80.16,74.86,62.11,3,7,8,6,3,Technology,Practical,Computer Science,Mechanical Engineer
Female,17,79.19,74.86,83.47,48.72,7,5,9,5,4,Science,Practical,Science,Mechanical Engineer
Female,16,76.74,77.71,98.92,67.78,8,8,10,10,9,Technology,Analytical,Mathematics,Software Engineer
Male,19,79.66,81.07,79.03,66.87,2,4,9,2,6,Mathematics,Practical,Mathematics,Civil Engineer
Male,20,67.28,80.26,100.0,73.95,10,7,7,7,5,Science,Investigative,Computer Science,Software Engineer
Female,21,89.47,71.72,86.47,45.93,4,5,9,9,7,Science,Analytical,Mathematics,Mechanical Engineer
Male,18,74.4,100.0,75.89,66.38,6,4,8,7,6,Science,Investigative,Science,Data Scientist
Male,21,76.01,50.58,52.52,80.5,4,9,5,7,7,Social Work,Social,Social Studies,Lawyer
Female,17,72.98,56.4,48.74,80.43,1,9,9,5,8,Arts,Practical,Social Studies,Lawyer
Female,19,67.54,92.82,58.24,73.51,7,8,8,5,8,Business,Analytical,Commerce,Business Analyst
Female,16,77.92,71.75,51.5,85.7,2,9,7,6,6,Business,Social,Social Studies,Lawyer
Male,18,75.61,81.25,66.25,61.59,9,6,9,3,8,Technology,Practical,Computer Science,Data Scientist
Female,22,77.44,60.24,67.25,90.63,1,8,4,6,6,Arts,Social,Arts,Teacher
Female,22,83.18,72.03,63.78,91.17,8,10,6,7,4,Mathematics,Social,Arts,Teacher
Male,17,85.74,83.64,83.33,52.35,9,3,9,3,7,Science,Analytical,Mathematics,Data Scientist
Male,19,69.3,88.25,61.42,75.92,7,6,4,4,9,Business,Analytical,Commerce,Business Analyst
Female,21,60.89,56.54,81.28,93.88,1,6,9,8,4,Medicine,Creative,Biology,Psychologist
Male,19,69.07,78.34,62.78,55.38,4,9,5,1,3,Mathematics,Analytical,Biology,Civil Engineer
Male,17,93.06,84.33,84.09,63.46,8,6,8,5,4,Science,Analytical,Computer Science,Data Scientist
Female,21,67.44,70.38,65.1,58.63,9,7,9,7,4,Medicine,Investigative,Computer Science,Software Engineer
Male,18,78.67,54.31,82.28,70.11,3,10,2,9,4,Business,Creative,Arts,Teacher
Male,16,73.36,87.92,83.67,68.7,6,9,6,6,5,Business,Leadership,English,Teacher
Female,21,74.1,68.43,73.88,73.7,5,5,7,9,7,Science,Analytical,English,Civil Engineer
Female,16,74.38,70.8,75.48,74.19,6,10,9,5,9,Arts,Social,English,Teacher
Male,16,81.27,70.98,63.71,76.46,6,6,8,8,6,Business,Leadership,Commerce,Business Analyst
Female,16,71.28,53.45,64.28,62.96,5,10,7,8,3,Social Work,Creative,Biology,Psychologist
Male,17,76.45,56.76,57.36,58.11,3,10,5,9,5,Arts,Investigative,Social Studies,Psychologist
Female,18,58.37,72.22,73.21,51.29,2,7,7,6,5,Science,Practical,Mathematics,Civil Engineer
Female,22,96.52,83.28,80.53,54.13,8,8,8,9,5,Science,Analytical,Computer Science,Data Scientist
Male,21,84.81,66.51,58.99,87.94,2,8,8,6,9,Technology,Social,Social Studies,Teacher
Male,22,81.79,82.99,62.77,49.66,3,2,10,7,6,Mathematics,Practical,Mathematics,Civil Engineer
Male,21,73.26,90.13,64.02,78.85,5,7,8,6,9,Business,Leadership,Commerce,Business Analyst
Female,20,88.99,38.38,55.35,74.31,3,3,8,9,2,Arts,Creative,English,Graphic Designer
Female,21,81.51,91.54,61.61,74.24,8,8,9,5,4,Mathematics,Creative,Mathematics,Software Engineer
Female,20,70.76,80.57,83.52,44.62,1,8,7,7,5,Mathematics,Practical,Science,Civil Engineer
Female,20,87.43,65.87,89.6,73.16,2,9,7,6,4,Medicine,Social,Biology,Doctor
Male,22,61.71,76.95,61.21,65.0,4,9,7,8,3,Design,Analytical,Arts,Graphic Designer
Female,19,67.75,74.48,71.24,60.34,4,7,7,2,4,Science,Analytical,Mathematics,Civil Engineer
Male,18,82.09,49.15,62.59,69.08,6,6,3,10,6,Arts,Social,Arts,Graphic Designer
Female,18,72.69,84.98,70.64,60.62,10,1,8,6,3,Science,Analytical,Science,Software Engineer
Female,17,69.79,82.47,66.16,71.59,9,5,8,9,4,Mathematics,Analytical,Computer Science,Data Scientist
Male,17,91.62,52.77,98.55,85.51,5,6,7,5,5,Science,Investigative,Biology,Doctor
Male,22,74.05,73.07,76.2,80.26,2,9,6,4,7,Arts,Analytical,Science,Teacher
Female,21,83.22,54.71,53.08,75.67,1,6,9,2,10,Arts,Investigative,English,Lawyer
Female,16,71.28,64.03,63.6,78.97,6,9,8,7,9,Business,Social,Arts,Teacher
Female,20,73.29,80.56,63.84,70.72,3,9,7,4,10,Business,Social,Commerce,Business Analyst
Male,20,77.8,70.9,46.49,69.17,8,6,7,10,1,Design,Creative,Arts,Graphic Designer
Female,16,73.76,74.46,42.98,64.71,5,6,7,6,9,Business,Social,Social Studies,Business Analyst
Female,22,80.14,60.53,60.97,72.89,2,8,7,8,3,Social Work,Investigative,Social Studies,Psychologist
Female,18,74.0,57.79,50.56,62.3,1,10,4,5,5,Medicine,Social,Biology,Psychologist
Female,21,70.53,55.58,67.73,84.35,4,9,6,7,7,Medicine,Creative,Social Studies,Teacher
Female,20,70.85,84.91,54.34,52.8,1,2,7,6,7,Technology,Practical,Mathematics,Civil Engineer
Female,22,79.53,59.74,61.85,78.29,1,10,6,1,8,Arts,Social,English,Lawyer
Female,20,78.71,68.61,53.17,65.0,1,4,2,9,2,Arts,Creative,Arts,Graphic Designer
Male,20,79.84,79.93,76.32,56.57,3,8,6,4,6,Mathematics,Analytical,Science,Civil Engineer
Female,19,78.01,60.25,59.6,68.84,5,6,5,8,3,Arts,Practical,Computer Science,Graphic Designer
Male,17,60.12,73.83,47.3,70.03,4,6,9,2,7,Business,Leadership,Commerce,Business Analyst
Male,16,77.11,100.0,76.26,73.2,8,6,10,1,6,Mathematics,Investigative,Mathematics,Data Scientist
Female,21,72.32,68.22,66.72,84.27,4,9,9,5,8,Arts,Social,English,Lawyer
Female,20,75.88,89.12,63.93,63.0,10,8,10,5,7,Technology,Creative,Computer Science,Software Engineer
Female,20,74.99,44.95,72.42,61.1,1,5,3,6,1,Business,Creative,Arts,Psychologist
Male,17,64.15,74.93,48.74,64.23,4,7,10,4,9,Business,Leadership,Arts,Business Analyst
Female,16,90.97,67.34,84.41,75.93,5,8,10,3,6,Business,Analytical,Social Studies,Business Analyst
Female,19,67.96,85.79,66.0,69.49,3,5,9,6,7,Science,Practical,Mathematics,Civil Engineer
Male,16,84.38,53.05,85.0,64.45,1,8,4,3,6,Mathematics,Investigative,Biology,Doctor
Male,18,83.47,88.53,72.17,63.81,10,5,9,3,6,Science,Analytical,Computer Science,Data Scientist
Female,22,77.47,55.66,60.07,65.34,3,7,3,9,3,Design,Creative,Arts,Graphic Designer
Female,19,69.88,75.97,59.77,70.68,2,7,2,6,6,Business,Creative,English,Teacher
Female,19,68.36,65.2,80.89,76.87,3,7,5,8,5,Business,Creative,Social Studies,Teacher
Male,18,72.46,85.1,67.45,52.52,6,1,6,8,5,Technology,Practical,Science,Mechanical Engineer
Male,20,80.87,80.76,46.56,63.11,5,7,7,2,8,Business,Leadership,Commerce,Business Analyst
Female,22,74.98,66.35,53.06,86.06,3,10,8,5,6,Technology,Leadership,Biology,Lawyer
Male,18,75.78,51.28,55.46,69.0,1,10,6,6,6,Social Work,Social,English,Psychologist
Female,19,84.7,72.85,47.22,83.72,3,10,8,9,9,Arts,Leadership,Arts,Teacher
Female,21,90.44,30.0,52.43,82.52,6,10,5,9,4,Design,Creative,Arts,Graphic Designer
Male,17,77.54,78.67,76.23,63.68,4,5,7,9,4,Technology,Analytical,Mathematics,Mechanical Engineer
Male,20,77.69,65.82,82.38,54.45,3,5,5,3,8,Technology,Practical,Science,Civil Engineer
Male,20,82.79,61.45,71.97,79.85,1,10,8,2,10,Business,Social,English,Lawyer
Male,17,78.18,60.28,48.66,92.37,1,10,6,3,5,Business,Leadership,Commerce,Lawyer
Male,22,76.28,70.32,81.91,71.75,7,10,8,4,2,Technology,Analytical,Mathematics,Software Engineer
Male,17,91.8,61.12,78.39,68.51,1,8,6,5,9,Science,Social,Science,Doctor
Male,21,70.41,55.02,51.48,73.24,1,9,6,9,5,Medicine,Investigative,English,Psychologist
Male,21,74.68,34.78,65.49,78.92,5,5,6,9,7,Design,Creative,Computer Science,Graphic Designer
Male,22,73.07,76.57,63.68,79.11,6,6,9,7,10,Technology,Leadership,Commerce,Business Analyst
Female,22,76.95,47.77,83.55,75.01,1,8,6,6,6,Social Work,Social,English,Psychologist
Female,16,86.8,75.2,100.0,86.99,1,5,7,2,2,Social Work,Social,Science,Doctor
Female,16,82.51,67.41,42.56,73.41,6,9,5,7,10,Business,Analytical,Commerce,Business Analyst
Male,20,77.36,64.68,63.5,85.39,1,9,9,7,6,Social Work,Social,Commerce,Lawyer
Male,19,62.63,64.72,43.94,81.88,2,8,5,6,7,Arts,Leadership,English,Teacher
Male,22,88.54,78.84,65.87,60.32,10,5,10,8,5,Technology,Creative,Computer Science,Software Engineer
Male,22,94.84,45.9,75.54,73.63,2,7,8,7,7,Medicine,Social,Social Studies,Psychologist
Female,21,89.02,73.73,100.0,74.8,2,7,8,4,8,Medicine,Analytical,Science,Doctor
Female,19,76.93,55.53,54.13,88.0,5,10,6,10,6,Social Work,Social,English,Teacher
Female,19,93.18,56.12,84.84,66.45,6,5,6,6,7,Social Work,Investigative,Science,Doctor
Female,20,65.32,82.83,73.09,72.48,6,9,6,10,10,Business,Leadership,Mathematics,Business Analyst
Female,18,73.24,54.56,34.15,70.18,6,5,6,10,3,Design,Creative,Arts,Graphic Designer
Female,20,86.96,79.71,76.78,64.72,6,2,8,6,3,Science,Investigative,Mathematics,Mechanical Engineer
Male,18,77.44,75.71,84.98,70.62,8,9,7,8,5,Technology,Investigative,Mathematics,Software Engineer
Female,18,93.08,61.58,93.19,74.57,3,7,7,9,5,Medicine,Social,Science,Doctor
Female,17,85.65,74.01,58.16,65.05,8,6,8,1,10,Mathematics,Leadership,Commerce,Business Analyst
Female,20,70.01,80.16,64.78,68.78,3,8,7,3,4,Science,Practical,Mathematics,Civil Engineer
Female,20,70.87,71.69,77.48,57.51,3,5,6,6,8,Science,Practical,Mathematics,Civil Engineer
Male,21,85.81,98.45,69.12,63.29,9,6,9,3,3,Technology,Investigative,Commerce,Software Engineer
Male,22,79.06,90.08,94.3,62.72,5,4,5,5,5,Science,Investigative,Science,Mechanical Engineer
Female,16,59.96,60.3,83.03,50.16,1,7,6,7,5,Science,Analytical,Science,Civil Engineer
Male,17,84.54,85.97,69.98,77.29,9,6,10,4,3,Technology,Analytical,Computer Science,Data Scientist
Female,17,75.48,67.89,52.03,74.05,6,7,7,4,7,Business,Analytical,Commerce,Business Analyst
Female,20,68.66,84.89,79.23,54.55,5,7,8,6,6,Mathematics,Analytical,Mathematics,Mechanical Engineer
Male,18,83.92,55.62,86.87,74.39,3,6,5,1,4,Social Work,Social,Biology,Doctor
Male,17,90.85,90.05,90.34,49.74,6,7,9,8,5,Technology,Leadership,Mathematics,Data Scientist
Male,16,77.37,85.14,74.09,70.45,8,3,9,3,8,Mathematics,Investigative,Mathematics,Data Scientist
Male,21,75.92,58.43,76.9,68.04,3,5,6,5,4,Social Work,Social,English,Psychologist
Female,21,74.93,79.83,74.0,46.63,3,4,6,8,8,Science,Practical,Science,Civil Engineer
Female,18,62.45,86.38,64.3,66.68,6,6,7,2,8,Technology,Leadership,Commerce,Business Analyst
Male,20,76.36,64.83,66.54,76.47,4,8,8,3,8,Social Work,Investigative,Social Studies,Psychologist
Female,17,60.69,63.45,78.72,55.57,5,7,7,2,9,Technology,Analytical,Mathematics,Mechanical Engineer
Female,20,83.0,87.37,66.88,65.6,6,4,9,2,6,Science,Practical,Mathematics,Data Scientist
Male,16,70.6,44.94,46.09,67.85,1,5,3,10,3,Design,Social,English,Graphic Designer
Female,16,68.66,67.13,47.93,75.5,2,10,5,8,6,Social Work,Social,Social Studies,Teacher
Female,22,88.21,86.11,81.21,58.05,4,5,6,4,7,Science,Practical,Social Studies,Civil Engineer
Male,19,86.08,82.67,70.82,67.61,5,4,6,7,9,Business,Leadership,Commerce,Business Analyst
Female,16,66.16,80.98,77.33,75.43,3,4,7,5,3,Medicine,Analytical,Social Studies,Civil Engineer
Male,18,71.23,75.75,81.13,78.84,4,7,5,5,5,Technology,Practical,Science,Civil Engineer
Male,20,80.63,86.45,87.07,59.72,2,5,10,9,5,Mathematics,Practical,Mathematics,Mechanical Engineer
Female,22,71.2,79.48,82.14,61.57,10,6,10,6,5,Technology,Analytical,Mathematics,Software Engineer
Female,22,86.78,52.51,59.65,58.5,2,9,3,9,3,Social Work,Social,Biology,Psychologist
Male,19,79.71,45.0,61.67,68.59,4,9,6,7,6,Social Work,Social,Biology,Psychologist
Female,16,85.82,55.0,100.0,53.19,2,7,8,6,10,Business,Social,Biology,Doctor
Male,22,72.79,79.39,90.02,61.92,9,6,6,4,3,Technology,Creative,Computer Science,Software Engineer
Female,18,69.91,73.6,73.1,68.76,4,10,10,10,4,Arts,Social,English,Teacher
Male,18,67.44,55.61,80.86,73.49,2,9,8,3,6,Social Work,Social,Commerce,Psychologist
Male,18,73.85,72.01,39.9,70.31,5,7,8,4,6,Business,Analytical,Commerce,Business Analyst
Male,19,84.18,94.85,64.85,64.89,8,9,5,9,5,Science,Analytical,Social Studies,Software Engineer
Male,22,82.93,46.55,61.58,82.25,1,9,7,4,6,Arts,Investigative,Commerce,Lawyer
Male,18,67.32,63.95,77.1,73.19,3,4,1,4,5,Social Work,Practical,Social Studies,Psychologist
Female,20,83.32,60.29,58.21,61.61,3,10,6,7,6,Design,Social,Arts,Graphic Designer
Female,16,82.92,49.21,46.46,63.03,3,4,6,9,8,Design,Practical,English,Graphic Designer
Female,21,67.68,38.77,55.66,95.77,3,8,10,2,9,Technology,Analytical,Social Studies,Lawyer
Female,19,76.6,82.64,85.67,59.76,6,7,6,9,7,Mathematics,Investigative,Mathematics,Civil Engineer
Female,19,68.32,79.44,87.71,59.08,2,1,5,3,6,Mathematics,Practical,Science,Mechanical Engineer
Female,21,77.13,55.49,71.17,68.63,1,7,5,5,5,Science,Social,Biology,Doctor
Male,19,89.02,64.62,62.6,94.03,3,9,4,4,8,Arts,Leadership,Arts,Teacher
Male,22,75.65,82.57,76.88,78.14,4,9,6,10,7,Social Work,Leadership,Social Studies,Teacher
Male,16,76.11,84.42,79.53,65.91,5,7,9,8,5,Science,Investigative,Computer Science,Data Scientist
Male,21,66.24,80.24,74.76,62.52,6,5,6,7,4,Mathematics,Investigative,Computer Science,Mechanical Engineer
Male,17,67.05,74.16,61.0,48.43,1,5,8,7,7,Mathematics,Practical,Mathematics,Civil Engineer
Male,20,74.38,83.38,78.02,68.3,7,7,9,7,3,Mathematics,Analytical,Computer Science,Software Engineer
Female,18,81.07,62.79,56.19,82.7,2,7,10,6,7,Medicine,Investigative,Science,Lawyer
Female,17,71.29,83.3,42.19,75.88,2,9,7,5,7,Mathematics,Social,Social Studies,Business Analyst
Female,21,65.34,90.09,59.9,68.18,1,8,9,8,2,Social Work,Investigative,Biology,Psychologist
